location,lat,lng
"Turkey, Istanbul",41.01384,28.94966
"Turkey, Ankara",39.91987,32.85427
"Iraq, Baghdad",33.34058,44.40088
"Japan, Tokyo",35.6895,139.69171
"Malaysia, Kuala Lumpur",3.1412,101.68653
"Finland, Turku",60.45148,22.26869
"England, Manchester",53.45,-2.23333
"England, Central London",51.52393,-0.10203
"England, London, Waterloo Station",51.50257,-0.11309
"England, Central London",51.52393,-0.10203
"England, London",51.50853,-0.12574
"Netherlands, Amsterdam",52.37403,4.88969
"Bosnia-Herzegovina, Sarajevo",43.84864,18.35644
"Bosnia-Herzegovina, Mostar",43.34333,17.80806
"Bosnia-Herzegovina, Bihac",44.81694,15.87083
"Serbia, Belgrade",44.80401,20.46513
"Montenegro, Podgorica",42.44111,19.26361
"Belgium, Namur",50.4669,4.86746
"Belgium, Brussels",50.85045,4.34878
"Spain, Barcelona",41.38879,2.15899
"Spain, Madrid",40.4165,-3.70256
"Poland, Warsaw",52.22977,21.01178
"Kosovo",42.58333,20.91667
"Ireland, Dublin",53.33306,-6.24889
"Germany, Berlin",52.52437,13.41053
"Sweden, Stockholm",59.32938,18.06871
"Italy, Rome",41.89193,12.51133
"Canada, Ottawa",45.41117,-75.69812
"Canada, Toronto",43.70643,-79.39864
"US, Los Angeles",34.05223,-118.24368
"US, New York, Times Square",40.75705,-73.98597
"US, Washington D.C.",38.89511,-77.03637
"US, San Francisco",37.77493,-122.41942
"US, Boston",42.35843,-71.05977
"US, Port of Oakland",38.0575,-122.02973
"South Africa, Cape Town",-33.92584,18.42322
"Ghana",8.1,-1.2
"Jordan",31,36
"Peru, Lima",-12.04318,-77.02824
"Colombia, Bogota",4.60971,-74.08175
